These are the redirects that are being changed. 
from_path: /development/Opportunities/nature-trail.html to_url changing from: http://www.bethel.edu/giving/ to: https://www.bethel.edu/giving/
from_path: /development/sticker-form to_url changing from: http://www.bethel.edu/giving/ to: https://www.bethel.edu/giving/
from_path: /development/sticker-form/ to_url changing from: http://www.bethel.edu/giving/ to: https://www.bethel.edu/giving/
from_path: /development/ways-to-give.html to_url changing from: http://www.bethel.edu/giving/donate/ to: https://www.bethel.edu/giving/donate/
from_path: /development/employee-giving/payroll to_url changing from: https://www.bethel.edu/giving/donate/employee-giving to: https://auth.bethel.edu/cas/login?service=https%3A%2F%2Fwww.bethel.edu%2Fgiving%2Fdonate%2Femployee-giving
from_path: /development/employee-giving/payroll/ to_url changing from: https://www.bethel.edu/giving/donate/employee-giving to: https://auth.bethel.edu/cas/login?service=https%3A%2F%2Fwww.bethel.edu%2Fgiving%2Fdonate%2Femployee-giving
from_path: /development/foundation to_url changing from: http://www.bethel.edu/offices/foundation/ to: https://www.bethel.edu/foundation/
from_path: /development/foundation/ to_url changing from: http://www.bethel.edu/offices/foundation/ to: https://www.bethel.edu/foundation/
from_path: /development/foundation/index.html to_url changing from: http://www.bethel.edu/offices/foundation/ to: https://www.bethel.edu/foundation/
from_path: /development/foundation/annualreport to_url changing from: http://www.bethel.edu/offices/foundation/ to: https://www.bethel.edu/foundation/
from_path: /development/foundation/annualreport/ to_url changing from: http://www.bethel.edu/offices/foundation/ to: https://www.bethel.edu/foundation/
from_path: /development/foundation/annualreport/index.html to_url changing from: http://www.bethel.edu/offices/foundation/ to: https://www.bethel.edu/foundation/
from_path: /development/foundation/personnel to_url changing from: http://www.bethel.edu/offices/foundation/contact to: https://www.bethel.edu/foundation/contact/
from_path: /development/foundation/personnel/ to_url changing from: http://www.bethel.edu/offices/foundation/contact to: https://www.bethel.edu/foundation/contact/
from_path: /development/foundation/personnel/index.html to_url changing from: http://www.bethel.edu/offices/foundation/contact to: https://www.bethel.edu/foundation/contact/
from_path: /development/foundation/services to_url changing from: http://www.bethel.edu/offices/foundation/services/ to: https://www.bethel.edu/foundation/services/
from_path: /development/foundation/services/ to_url changing from: http://www.bethel.edu/offices/foundation/services/ to: https://www.bethel.edu/foundation/services/
from_path: /development/foundation/services/index.html to_url changing from: http://www.bethel.edu/offices/foundation/services/ to: https://www.bethel.edu/foundation/services/
from_path: /development/foundation/more-info to_url changing from: http://www.bethel.edu/offices/foundation/contact to: https://www.bethel.edu/foundation/contact/
from_path: /development/foundation/more-info/ to_url changing from: http://www.bethel.edu/offices/foundation/contact to: https://www.bethel.edu/foundation/contact/
from_path: /development/foundation/more-info/index.html to_url changing from: http://www.bethel.edu/offices/foundation/contact to: https://www.bethel.edu/foundation/contact/
from_path: /development/phonathons to_url changing from: http://www.bethel.edu/giving/ to: https://www.bethel.edu/giving/
from_path: /development/phonathons/ to_url changing from: http://www.bethel.edu/giving/ to: https://www.bethel.edu/giving/
from_path: /development/phonathons/student to_url changing from: http://www.bethel.edu/giving/ to: https://www.bethel.edu/giving/
from_path: /development/phonathons/student/ to_url changing from: http://www.bethel.edu/giving/ to: https://www.bethel.edu/giving/
